suburb_name,commission_rate
"Sans Souci, NSW",1.42
"Hurstville, NSW",1.40
"Hurstville Grove, NSW",1.40
"Blakehurst, NSW",1.42
"Carss Park, NSW",1.42
"Connells Point, NSW",1.42
"Kyle Bay, NSW",1.42
"South Hurstville, NSW",1.42
"Penshurst, NSW",1.43
"Mortdale, NSW",1.38
"Oatley, NSW",1.30
"Kangaroo Point, NSW",1.59
"Sylvania, NSW",1.59
"Sylvania Southgate, NSW",1.59
"Sylvania Waters, NSW",1.59
"Oyster Bay, NSW",1.59
"Bonnet Bay, NSW",1.59
"Como, NSW",1.59
"Jannali, NSW",1.59
"Gymea, NSW",1.59
"Gymea Bay, NSW",1.59
"Miranda, NSW",1.79
"Yowie Bay, NSW",1.79
"Caringbah, NSW",1.62
"Caringbah South, NSW",1.64
"Dolans Bay, NSW",1.64
"Lilli Pilli, NSW",1.64
"Port Hacking, NSW",1.64
"Taren Point, NSW",1.64
"Bundeena, NSW",1.69
"Burraneer, NSW",1.69
"Cronulla, NSW",1.66
"Maianbar, NSW",1.69
"Woolooware, NSW",1.69
"Kurnell, NSW",1.59
"Audley, NSW",1.54
"Garie, NSW",1.54
"Grays Point, NSW",1.54
"Kareela, NSW",1.54
"Kirrawee, NSW",1.54
"Loftus, NSW",1.54
"Sutherland, NSW",1.48
"Woronora, NSW",1.54
"Engadine, NSW",1.37
"Heathcote, NSW",1.28
"Waterfall, NSW",1.28
"Woronora Heights, NSW",1.28
"Yarrawarrah, NSW",1.28
"Alfords Point, NSW",1.53
"Bangor, NSW",1.53
"Barden Ridge, NSW",1.53
"Illawong, NSW",1.53
"Lucas Heights, NSW",1.53
"Menai, NSW",1.53
"Menai Central, NSW",1.53
"Bucketty, NSW",2.12
"Calga, NSW",2.12
"Central Mangrove, NSW",2.12
"East Gosford, NSW",2.12
"Erina, NSW",2.12
"Erina Fair, NSW",2.12
"Glenworth Valley, NSW",2.12
"Gosford, NSW",2.38
"Greengrove, NSW",2.12
"Holgate, NSW",2.12
"Kariong, NSW",2.12
"Kulnura, NSW",2.12
"Lisarow, NSW",2.12
"Lower Mangrove, NSW",2.12
"Mangrove Creek, NSW",2.12
"Mangrove Mountain, NSW",2.12
"Matcham, NSW",2.12
"Mooney Mooney Creek, NSW",2.12
"Mount Elliot, NSW",2.12
"Mount White, NSW",2.12
"Narara, NSW",2.12
"Niagara Park, NSW",2.12
"North Gosford, NSW",2.12
"Peats Ridge, NSW",2.12
"Point Clare, NSW",2.12
"Point Frederick, NSW",2.12
"Somersby, NSW",2.12
"Springfield, NSW",2.12
"Tascott, NSW",2.12
"Ten Mile Hollow, NSW",2.12
"Upper Mangrove, NSW",2.12
"Wendoree Park, NSW",2.12
"West Gosford, NSW",2.12
"Wyoming, NSW",2.12
"Avoca Beach, NSW",1.97
"Bensville, NSW",1.97
"Bouddi, NSW",1.97
"Copacabana, NSW",1.97
"Davistown, NSW",1.97
"Green Point, NSW",1.97
"Kincumber, NSW",1.97
"Kincumber South, NSW",1.97
"Macmasters Beach, NSW",1.97
"Picketts Valley, NSW",1.97
"Saratoga, NSW",1.97
"Yattalunga, NSW",1.97
"Blackwall, NSW",2.02
"Horsfield Bay, NSW",2.02
"Koolewong, NSW",2.02
"Little Wobby, NSW",2.02
"Patonga, NSW",2.02
"Pearl Beach, NSW",2.02
"Phegans Bay, NSW",2.02
"Wondabyne, NSW",2.02
"Woy Woy, NSW",2.04
"Woy Woy Bay, NSW",2.02
"Booker Bay, NSW",2.15
"Box Head, NSW",2.15
"Daleys Point, NSW",2.15
"Empire Bay, NSW",2.15
"Ettalong Beach, NSW",2.15
"Hardys Bay, NSW",2.15
"Killcare, NSW",2.15
"Killcare Heights, NSW",2.15
"Pretty Beach, NSW",2.15
"St Huberts Island, NSW",2.15
"Umina Beach, NSW",2.21
"Wagstaffe, NSW",2.15
"Fountaindale, NSW",2.15
"Kangy Angy, NSW",2.15
"Ourimbah, NSW",2.20
"Palm Grove, NSW",2.15
"Palmdale, NSW",2.15
"Alison, NSW",2.22
"Bushells Ridge, NSW",2.22
"Cedar Brush Creek, NSW",2.22
"Chain Valley Bay, NSW",2.22
"Crangan Bay, NSW",2.22
"Dooralong, NSW",2.22
"Durren Durren, NSW",2.22
"Frazer Park, NSW",2.22
"Freemans, NSW",2.22
"Gwandalan, NSW",2.22
"Halloran, NSW",2.22
"Hamlyn Terrace, NSW",2.29
"Jilliby, NSW",2.22
"Kanwal, NSW",2.22
"Kiar, NSW",2.22
